Geography,Annee,Population
"Montréal, Quebec",2002,3669938
"Montréal, Quebec",2003,3701320
"Montréal, Quebec",2004,3733824
"Montréal, Quebec",2005,3762413
"Montréal, Quebec",2006,3795173
"Montréal, Quebec",2007,3828356
"Montréal, Quebec",2008,3866952
"Montréal, Quebec",2009,3915330
"Montréal, Quebec",2010,3961080
"Montréal, Quebec",2011,4001097
"Montréal, Quebec",2012,4036837
"Montréal, Quebec",2013,4070480
"Montréal, Quebec",2014,4096765
"Montréal, Quebec",2015,4115763
"Montréal, Quebec",2016,4146025
"Montréal, Quebec",2017,4193413
"Montréal, Quebec",2018,4261700
"Montréal, Quebec",2019,4327976
"Montréal, Quebec",2020,4356853
"Montréal, Quebec",2021,4330143
"Montréal, Quebec",2022,4372296
"Montréal, Quebec",2023,4465221
"Montréal, Quebec",2024,4572813
"Montréal, Quebec",2025,4597837
